#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
        46   -1.7259373205e+01    2.9812799036e+02   -3.0839635750e+01    1.3580262545e+01    1.7086064243e+01   -5.6807196243e+01    1.9007330039e+00    6.9807632464e+00    2.6947000000e+04    2.8074276447e-01    9.9756521966e-01
        47   -1.7254534266e+01    2.9793467276e+02   -3.0768983226e+01    1.3514448960e+01    1.7108705777e+01   -5.6761814851e+01    1.9033626021e+00    6.9807632464e+00    2.6949000000e+04    2.8082259496e-01    9.9749079108e-01
        48   -1.7254746297e+01    2.9793056087e+02   -3.0803304670e+01    1.3548558373e+01    1.7110854223e+01   -5.6785009186e+01    1.8900870466e+00    6.9807632464e+00    2.6964000000e+04    2.8204246362e-01    9.9760318906e-01
        49   -1.7256955605e+01    2.9809971142e+02   -3.0919929779e+01    1.3662974174e+01    1.7106929534e+01   -5.6842061274e+01    1.8344387152e+00    6.9807632464e+00    2.6885000000e+04    2.8183495998e-01    9.9746187702e-01
        50   -1.7252540534e+01    2.9791052290e+02   -3.0855605530e+01    1.3603064996e+01    1.7131898940e+01   -5.6798627116e+01    1.8303593994e+00    6.9807632464e+00    2.6832000000e+04    2.7900330226e-01    9.9731237639e-01
        51   -1.7233470641e+01    2.9722459704e+02   -3.0838756910e+01    1.3605286269e+01    1.7094980952e+01   -5.6819435596e+01    1.9049344872e+00    6.9807632464e+00    2.6845000000e+04    2.7856938044e-01    9.9741126558e-01
        52   -1.7249985507e+01    2.9779722832e+02   -3.0888078623e+01    1.3638093117e+01    1.7084159738e+01   -5.6976140287e+01    2.0231386783e+00    6.9807632464e+00    2.6751000000e+04    2.7768286069e-01    9.9738914606e-01
        53   -1.7252690882e+01    2.9789632554e+02   -3.0948521156e+01    1.3695830274e+01    1.7048740573e+01   -5.6979098380e+01    2.0010734048e+00    6.9807632464e+00    2.6712000000e+04    2.7913232644e-01    9.9741687453e-01
        54   -1.7266795720e+01    2.9835124031e+02   -3.0902522561e+01    1.3635726842e+01    1.7027293280e+01   -5.6834624419e+01    1.9240453310e+00    6.9807632464e+00    2.6695000000e+04    2.7580694358e-01    9.9758399617e-01
        55   -1.7259899587e+01    2.9812324679e+02   -3.0771803462e+01    1.3511903875e+01    1.7048472476e+01   -5.6724095755e+01    1.9230565700e+00    6.9807632464e+00    2.6733000000e+04    2.7624229590e-01    9.9745100636e-01
        56   -1.7256170515e+01    2.9799992813e+02   -3.0754157530e+01    1.3497987015e+01    1.7081747972e+01   -5.6729192775e+01    1.9125240257e+00    6.9807632464e+00    2.6780000000e+04    2.7702216307e-01    9.9737191519e-01
        57   -1.7262384471e+01    2.9820382153e+02   -3.0666426397e+01    1.3404041926e+01    1.7077796043e+01   -5.6707109786e+01    1.9821240998e+00    6.9807632464e+00    2.6797000000e+04    2.7868195375e-01    9.9735414824e-01
        58   -1.7258961227e+01    2.9810304975e+02   -3.0854207340e+01    1.3595246112e+01    1.7108554901e+01   -5.6799901280e+01    1.8563757927e+00    6.9807632464e+00    2.6876000000e+04    2.8003168106e-01    9.9749263342e-01
        59   -1.7254591029e+01    2.9801786235e+02   -3.0934171625e+01    1.3679580596e+01    1.7094422375e+01   -5.6950005271e+01    1.9406480240e+00    6.9807632464e+00    2.6882000000e+04    2.8071109454e-01    9.9728493387e-01
        60   -1.7252708556e+01    2.9791560657e+02   -3.0842011415e+01    1.3589302859e+01    1.7094512839e+01   -5.6856834278e+01    1.9395467782e+00    6.9807632464e+00    2.6788000000e+04    2.7855034669e-01    9.9736417377e-01
        61   -1.7267620468e+01    2.9842818185e+02   -3.0993407906e+01    1.3725787438e+01    1.7107672890e+01   -5.6960014475e+01    1.8781704319e+00    6.9807632464e+00    2.6792000000e+04    2.7746097247e-01    9.9730820051e-01
        62   -1.7247371955e+01    2.9770066815e+02   -3.0894504214e+01    1.3647132259e+01    1.7093635253e+01   -5.6827415984e+01    1.8585132716e+00    6.9807632464e+00    2.6781000000e+04    2.7735201518e-01    9.9742809500e-01
        63   -1.7253361250e+01    2.9791322439e+02   -3.0938459689e+01    1.3685098439e+01    1.7071792439e+01   -5.6826152341e+01    1.8351369668e+00    6.9807632464e+00    2.6796000000e+04    2.7682614326e-01    9.9727070298e-01
        64   -1.7247404901e+01    2.9771909801e+02   -3.0839754868e+01    1.3592349967e+01    1.7063173313e+01   -5.6973936758e+01    2.0902453302e+00    6.9807632464e+00    2.6755000000e+04    2.7777596315e-01    9.9724860532e-01
        65   -1.7255321884e+01    2.9796064564e+02   -3.0743692573e+01    1.3488370688e+01    1.7099822253e+01   -5.6822414863e+01    1.9981367902e+00    6.9807632464e+00    2.6742000000e+04    2.7934904893e-01    9.9758329917e-01
        66   -1.7274893997e+01    2.9864953841e+02   -3.0844491820e+01    1.3569597823e+01    1.7095545265e+01   -5.6796927750e+01    1.8761274184e+00    6.9807632464e+00    2.6771000000e+04    2.8059049447e-01    9.9748274879e-01
        67   -1.7265128505e+01    2.9832142056e+02   -3.0905656223e+01    1.3640527718e+01    1.7085150124e+01   -5.6859259116e+01    1.8876895228e+00    6.9807632464e+00    2.6887000000e+04    2.8012859821e-01    9.9751666037e-01
        68   -1.7260360934e+01    2.9815333834e+02   -3.1009642170e+01    1.3749281236e+01    1.7086142922e+01   -5.7050657654e+01    1.9741093157e+00    6.9807632464e+00    2.6928000000e+04    2.8157663345e-01    9.9747457558e-01
        69   -1.7261068795e+01    2.9818425334e+02   -3.0841644643e+01    1.3580575848e+01    1.7075249290e+01   -5.6906460347e+01    2.0088031683e+00    6.9807632464e+00    2.6874000000e+04    2.8158644835e-01    9.9736859431e-01
        70   -1.7269931914e+01    2.9849870602e+02   -3.0863181402e+01    1.3593249488e+01    1.7081823822e+01   -5.6822943132e+01    1.8971746622e+00    6.9807632464e+00    2.6902000000e+04    2.7996595701e-01    9.9734087980e-01
        71   -1.7264627945e+01    2.9830506182e+02   -3.0886325186e+01    1.3621697240e+01    1.7115157089e+01   -5.6928903568e+01    1.9466580473e+00    6.9807632464e+00    2.7016000000e+04    2.8323435783e-01    9.9750528181e-01
        72   -1.7248446988e+01    2.9775131235e+02   -3.0977438913e+01    1.3728991926e+01    1.7143698644e+01   -5.7017575791e+01    1.9156749869e+00    6.9807632464e+00    2.7065000000e+04    2.8433859348e-01    9.9729902406e-01
        73   -1.7261308619e+01    2.9822327726e+02   -3.0906859604e+01    1.3645550985e+01    1.7198795594e+01   -5.7079464971e+01    1.9930465271e+00    6.9807632464e+00    2.7015000000e+04    2.8405733903e-01    9.9722280568e-01
