# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        47   -1.7255476716e+01    2.3548219205e-01    2.6880058703e+03    2.6890000000e+03    5.0000000000e-01   -1.7329267014e+01    9.9544430970e-01    9.9925622908e-01
        48   -1.7271230260e+01    4.0009615123e-01    2.6881189671e+03    2.6900000000e+03    3.3333333333e-01   -1.7404230907e+01    9.9422855383e-01    9.9962825279e-01
        49   -1.7261971883e+01    2.3823601482e-01    2.6879519135e+03    2.6910000000e+03    3.3333333333e-01   -1.7494320077e+01    9.9581686342e-01    9.9888517280e-01
        50   -1.7247625576e+01    2.8470864516e-01    2.6878997246e+03    2.6880000000e+03    3.3333333333e-01   -1.7261971883e+01    9.9458167355e-01    9.9813988095e-01
        51   -1.7256068159e+01    2.3685345353e-01    2.6880331894e+03    2.6830000000e+03    5.0000000000e-01   -1.6875255333e+01    9.9533408612e-01    1.0000000000e+00
        52   -1.7261252643e+01    2.2603071817e-01    2.6880235204e+03    2.6860000000e+03    1.6666666667e-01   -1.7107203247e+01    9.9730188237e-01    1.0000000000e+00
        53   -1.7262483062e+01    3.0138489593e-01    2.6880068890e+03    2.6890000000e+03    1.6666666667e-01   -1.7335643568e+01    9.9539050050e-01    9.9888434362e-01
        54   -1.7259677937e+01    2.0541308970e-01    2.6879780393e+03    2.6870000000e+03    5.0000000000e-01   -1.7188064456e+01    9.9580826968e-01    9.9925567547e-01
        55   -1.7259879521e+01    2.2836095614e-01    2.6879999075e+03    2.6870000000e+03    1.6666666667e-01   -1.7185259332e+01    9.9562775455e-01    1.0000000000e+00
        56   -1.7260856016e+01    1.9801245152e-01    2.6880095633e+03    2.6890000000e+03    0.0000000000e+00   -1.7334270446e+01    9.9594912385e-01    9.9925622908e-01
        57   -1.7261132578e+01    2.0502651337e-01    2.6879960981e+03    2.6870000000e+03    3.3333333333e-01   -1.7186437411e+01    9.9540828327e-01    9.9962783774e-01
        58   -1.7258900039e+01    2.7807652954e-01    2.6880153139e+03    2.6930000000e+03    3.3333333333e-01   -1.7632810812e+01    9.9497922170e-01    9.9814333457e-01
        59   -1.7252120645e+01    2.2412555859e-01    2.6879732691e+03    2.6910000000e+03    3.3333333333e-01   -1.7481989856e+01    9.9576954282e-01    9.9925678187e-01
        60   -1.7257869377e+01    2.5011867501e-01    2.6880430897e+03    2.6900000000e+03    1.6666666667e-01   -1.7400874836e+01    9.9537818804e-01    9.9814126394e-01
        61   -1.7247825529e+01    3.1346508390e-01    2.6879517829e+03    2.6870000000e+03    3.3333333333e-01   -1.7183450771e+01    9.9607849876e-01    9.9776702642e-01
        62   -1.7250743238e+01    2.6252034276e-01    2.6880011493e+03    2.6830000000e+03    5.0000000000e-01   -1.6875455285e+01    9.9402380764e-01    1.0000000000e+00
        63   -1.7259820349e+01    2.4879200059e-01    2.6880845497e+03    2.6930000000e+03    3.3333333333e-01   -1.7622421472e+01    9.9547841669e-01    9.9702933531e-01
        64   -1.7256108071e+01    2.2646534738e-01    2.6879692956e+03    2.6850000000e+03    1.6666666667e-01   -1.7036481409e+01    9.9624467842e-01    9.9925512104e-01
        65   -1.7253222433e+01    2.0470051508e-01    2.6879552585e+03    2.6830000000e+03    1.6666666667e-01   -1.6883737828e+01    9.9532270660e-01    1.0000000000e+00
        66   -1.7255108408e+01    2.3540195919e-01    2.6879972665e+03    2.6850000000e+03    1.6666666667e-01   -1.7029883493e+01    9.9585775429e-01    9.9962756052e-01
        67   -1.7269076035e+01    2.5220341328e-01    2.6880991126e+03    2.6890000000e+03    3.3333333333e-01   -1.7329499333e+01    9.9403785031e-01    9.9925622908e-01
        68   -1.7265400781e+01    3.1283721477e-01    2.6879771893e+03    2.6890000000e+03    3.3333333333e-01   -1.7343466960e+01    9.9591846941e-01    9.9851245816e-01
        69   -1.7277463355e+01    2.8589163785e-01    2.6880659365e+03    2.6860000000e+03    5.0000000000e-01   -1.7116535869e+01    9.9505555047e-01    1.0000000000e+00
        70   -1.7257017821e+01    2.9671810757e-01    2.6878777366e+03    2.6880000000e+03    1.6666666667e-01   -1.7277463355e+01    9.9597539411e-01    9.9962797619e-01
        71   -1.7248477882e+01    2.1804319845e-01    2.6879376237e+03    2.6880000000e+03    1.6666666667e-01   -1.7257017821e+01    9.9514593846e-01    9.9962797619e-01
        72   -1.7267222930e+01    2.4476667929e-01    2.6881305294e+03    2.6890000000e+03    1.6666666667e-01   -1.7322868807e+01    9.9561232773e-01    9.9851245816e-01
        73   -1.7270103636e+01    2.1541962993e-01    2.6880040386e+03    2.6850000000e+03    1.6666666667e-01   -1.7043883990e+01    9.9581854925e-01    1.0000000000e+00
        74   -1.7270993125e+01    2.1672295407e-01    2.6880042539e+03    2.6880000000e+03    1.6666666667e-01   -1.7270103636e+01    9.9641424998e-01    9.9925595238e-01
        75   -1.7265924046e+01    2.0851198940e-01    2.6879690468e+03    2.6890000000e+03    3.3333333333e-01   -1.7345384050e+01    9.9619641981e-01    9.9888434362e-01
        76   -1.7256339274e+01    2.0292858815e-01    2.6879247544e+03    2.6860000000e+03    3.3333333333e-01   -1.7117059134e+01    9.9568240283e-01    9.9962769918e-01
        77   -1.7261798152e+01    2.0057425503e-01    2.6880342244e+03    2.6880000000e+03    3.3333333333e-01   -1.7256339274e+01    9.9602497093e-01    9.9702380952e-01
        78   -1.7268425559e+01    3.7102328806e-01    2.6880149755e+03    2.6800000000e+03    1.6666666667e-01   -1.6665672524e+01    9.9611452854e-01    1.0000000000e+00
        79   -1.7261650758e+01    2.1505805485e-01    2.6879299544e+03    2.6840000000e+03    3.3333333333e-01   -1.6970584849e+01    9.9615411477e-01    9.9962742176e-01
        80   -1.7255256004e+01    1.9577835526e-01    2.6879519985e+03    2.6870000000e+03    3.3333333333e-01   -1.7187232153e+01    9.9469516281e-01    1.0000000000e+00
        81   -1.7260316987e+01    1.8582755240e-01    2.6880506479e+03    2.6920000000e+03    3.3333333333e-01   -1.7552653828e+01    9.9684476832e-01    9.9814264487e-01
        82   -1.7253249841e+01    1.6189007927e-01    2.6879519733e+03    2.6880000000e+03    1.6666666667e-01   -1.7260316987e+01    9.9557445588e-01    1.0000000000e+00
        83   -1.7254059899e+01    2.3793532385e-01    2.6880051807e+03    2.6890000000e+03    0.0000000000e+00   -1.7327640767e+01    9.9581849017e-01    9.9888434362e-01
        84   -1.7259838581e+01    2.1097587261e-01    2.6880328938e+03    2.6870000000e+03    1.6666666667e-01   -1.7179641294e+01    9.9531619593e-01    9.9925567547e-01
        85   -1.7256390508e+01    1.9415491997e-01    2.6879759276e+03    2.6880000000e+03    5.0000000000e-01   -1.7259838581e+01    9.9613371852e-01    9.9962797619e-01
        86   -1.7263462715e+01    1.8929971141e-01    2.6880428921e+03    2.6880000000e+03    1.6666666667e-01   -1.7256390508e+01    9.9540558975e-01    9.9813988095e-01
        87   -1.7261141772e+01    1.9084203482e-01    2.6879667117e+03    2.6840000000e+03    3.3333333333e-01   -1.6965622004e+01    9.9678630387e-01    9.9962742176e-01
        88   -1.7257073027e+01    1.9423280106e-01    2.6879777765e+03    2.6880000000e+03    5.0000000000e-01   -1.7261141772e+01    9.9493896943e-01    9.9888392857e-01
        89   -1.7259320763e+01    1.9789682285e-01    2.6880301575e+03    2.6890000000e+03    5.0000000000e-01   -1.7331463952e+01    9.9716592025e-01    9.9888434362e-01
        90   -1.7256270897e+01    2.0190248920e-01    2.6879673800e+03    2.6860000000e+03    3.3333333333e-01   -1.7110455852e+01    9.9494172573e-01    9.9888309754e-01
        91   -1.7263447444e+01    2.4516955080e-01    2.6880534686e+03    2.6880000000e+03    5.0000000000e-01   -1.7256270897e+01    9.9635003554e-01    9.9776785714e-01
        92   -1.7269625633e+01    2.4235128515e-01    2.6880155477e+03    2.6820000000e+03    3.3333333333e-01   -1.6816519884e+01    9.9591395793e-01    9.9925428784e-01
        93   -1.7260202439e+01    2.2549829483e-01    2.6879302265e+03    2.6850000000e+03    5.0000000000e-01   -1.7046286693e+01    9.9543489053e-01    9.9925512104e-01
        94   -1.7271560387e+01    2.0911596460e-01    2.6880974698e+03    2.6920000000e+03    3.3333333333e-01   -1.7557600263e+01    9.9393139989e-01    9.9814264487e-01
        95   -1.7275104785e+01    2.7320761343e-01    2.6880273029e+03    2.6890000000e+03    5.0000000000e-01   -1.7345951313e+01    9.9581220546e-01    9.9814057270e-01
        96   -1.7269794936e+01    2.4349133888e-01    2.6879619712e+03    2.6870000000e+03    1.6666666667e-01   -1.7200686179e+01    9.9455460725e-01    1.0000000000e+00
        97   -1.7270723388e+01    3.1742468075e-01    2.6880056238e+03    2.6890000000e+03    1.6666666667e-01   -1.7344185861e+01    9.9656461007e-01    9.9962811454e-01
        98   -1.7260246954e+01    2.2452893537e-01    2.6879252917e+03    2.6880000000e+03    0.0000000000e+00   -1.7270723388e+01    9.9521055766e-01    9.9888392857e-01
        99   -1.7262441305e+01    2.5562669307e-01    2.6880040132e+03    2.6860000000e+03    1.6666666667e-01   -1.7111382042e+01    9.9555257260e-01    1.0000000000e+00
       100   -1.7265301217e+01    2.7374428904e-01    2.6880120964e+03    2.6880000000e+03    3.3333333333e-01   -1.7262441305e+01    9.9500510489e-01    9.9925595238e-01
       101   -1.7260794184e+01    2.3719840397e-01    2.6870064180e+03    2.6870000000e+03    1.6666666667e-01   -1.7262069212e+01    9.9617704902e-01    9.9851135095e-01
       102   -1.7264343907e+01    1.9174968630e-01    2.6840086110e+03    2.6840000000e+03    3.3333333333e-01   -1.7262382058e+01    9.9565278841e-01    9.9962742176e-01
       103   -1.7256800289e+01    2.0496442747e-01    2.6839866902e+03    2.6840000000e+03    1.6666666667e-01   -1.7261356365e+01    9.9559359432e-01    9.9888226528e-01
       104   -1.7255892026e+01    2.0817153336e-01    2.6829471218e+03    2.6830000000e+03    3.3333333333e-01   -1.7261358302e+01    9.9625725861e-01    9.9925456578e-01
       105   -1.7253676002e+01    2.2186380336e-01    2.6829276371e+03    2.6830000000e+03    1.6666666667e-01   -1.7260074329e+01    9.9465064897e-01    9.9850913157e-01
       106   -1.7255666749e+01    1.8163176131e-01    2.6799586420e+03    2.6800000000e+03    5.0000000000e-01   -1.7257948193e+01    9.9484691422e-01    9.9925373134e-01
       107   -1.7265110213e+01    1.9974408400e-01    2.6810410241e+03    2.6810000000e+03    3.3333333333e-01   -1.7257285141e+01    9.9614741661e-01    9.9850801940e-01
       108   -1.7256965769e+01    1.8711696679e-01    2.6800624934e+03    2.6800000000e+03    1.6666666667e-01   -1.7256383832e+01    9.9496137258e-01    9.9888059701e-01
       109   -1.7257503348e+01    2.1094458546e-01    2.6800028858e+03    2.6800000000e+03    5.0000000000e-01   -1.7257022249e+01    9.9656253521e-01    9.9888059701e-01
       110   -1.7252340483e+01    2.3502356409e-01    2.6779845919e+03    2.6780000000e+03    1.6666666667e-01   -1.7255971991e+01    9.9585837996e-01    9.9962658701e-01
       111   -1.7252330548e+01    1.8244036906e-01    2.6769541763e+03    2.6770000000e+03    0.0000000000e+00   -1.7255398888e+01    9.9574529352e-01    9.9962644752e-01
       112   -1.7253133841e+01    2.4159066773e-01    2.6829476494e+03    2.6830000000e+03    1.6666666667e-01   -1.7257041106e+01    9.9542468766e-01    9.9850913157e-01
       113   -1.7265674719e+01    2.6323763405e-01    2.6810741910e+03    2.6810000000e+03    3.3333333333e-01   -1.7255789824e+01    9.9653904326e-01    9.9888101455e-01
       114   -1.7257097550e+01    2.0012222954e-01    2.6810808968e+03    2.6810000000e+03    1.6666666667e-01   -1.7255413857e+01    9.9593589356e-01    9.9850801940e-01
       115   -1.7251661219e+01    1.8702498701e-01    2.6770000181e+03    2.6770000000e+03    0.0000000000e+00   -1.7254430982e+01    9.9679971972e-01    1.0000000000e+00
       116   -1.7248336661e+01    1.8150352291e-01    2.6779326000e+03    2.6780000000e+03    0.0000000000e+00   -1.7254714834e+01    9.9532307381e-01    9.9962658701e-01
       117   -1.7247996314e+01    2.2473722878e-01    2.6789101828e+03    2.6790000000e+03    1.6666666667e-01   -1.7254689307e+01    9.9529095700e-01    9.9962672639e-01
       118   -1.7257388963e+01    3.3479542119e-01    2.6829425402e+03    2.6830000000e+03    3.3333333333e-01   -1.7255642039e+01    9.9621577659e-01    1.0000000000e+00
       119   -1.7246802278e+01    2.7378670131e-01    2.6849227212e+03    2.6850000000e+03    1.6666666667e-01   -1.7255886797e+01    9.9535075975e-01    9.9962756052e-01
