#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        34   -1.7261814253e+01    2.9822628246e+02   -3.0961087916e+01    1.3699273663e+01   -5.7028449600e+01    1.9589334424e+00    1.7127664995e+01    6.9807632464e+00    2.6937000000e+04    2.8109716683e-01    9.9734048884e-01
        35   -1.7261776797e+01    2.9824033564e+02   -3.0922659911e+01    1.3660883115e+01   -5.7001213669e+01    1.9717920262e+00    1.7125998485e+01    6.9807632464e+00    2.7003000000e+04    2.8121061200e-01    9.9737042291e-01
        36   -1.7264343563e+01    2.9829531667e+02   -3.0726882997e+01    1.3462539434e+01   -5.6790736243e+01    1.9714381300e+00    1.7111651870e+01    6.9807632464e+00    2.6994000000e+04    2.7973455317e-01    9.9746767224e-01
        37   -1.7263917764e+01    2.9829845833e+02   -3.0821710284e+01    1.3557792520e+01   -5.6903970561e+01    1.9898148281e+00    1.7111682202e+01    6.9807632464e+00    2.6907000000e+04    2.7986047033e-01    9.9745952352e-01
        38   -1.7262731209e+01    2.9825034670e+02   -3.0840864356e+01    1.3578133146e+01   -5.6759921937e+01    1.8775908995e+00    1.7060703435e+01    6.9807632464e+00    2.6868000000e+04    2.7934969867e-01    9.9752011930e-01
        39   -1.7268420815e+01    2.9840334923e+02   -3.0749704407e+01    1.3481283592e+01   -5.6622856842e+01    1.8531593293e+00    1.7039229859e+01    6.9807632464e+00    2.6872000000e+04    2.8218852233e-01    9.9764648774e-01
        40   -1.7271764897e+01    2.9860748511e+02   -3.0829729898e+01    1.3557965000e+01   -5.6784178828e+01    1.9273252382e+00    1.7046360446e+01    6.9807632464e+00    2.6959000000e+04    2.7888670400e-01    9.9723068350e-01
        41   -1.7256897159e+01    2.9803384157e+02   -3.0911175626e+01    1.3654278468e+01   -5.6933696078e+01    1.9934646070e+00    1.7048292599e+01    6.9807632464e+00    2.6997000000e+04    2.8032274817e-01    9.9719894897e-01
        42   -1.7252899015e+01    2.9790141478e+02   -3.0844768132e+01    1.3591869117e+01   -5.6838867197e+01    1.9786128609e+00    1.7034722957e+01    6.9807632464e+00    2.7021000000e+04    2.8075741900e-01    9.9744522375e-01
        43   -1.7257421089e+01    2.9808311261e+02   -3.0988798045e+01    1.3731376956e+01   -5.6906078208e+01    1.9111540308e+00    1.7025362886e+01    6.9807632464e+00    2.7105000000e+04    2.8020713300e-01    9.9732943998e-01
        44   -1.7258720938e+01    2.9810072938e+02   -3.1014951232e+01    1.3756230294e+01   -5.6995026932e+01    1.9791683543e+00    1.7020144099e+01    6.9807632464e+00    2.7084000000e+04    2.8129471683e-01    9.9742979670e-01
        45   -1.7254919079e+01    2.9796160203e+02   -3.0968794106e+01    1.3713875027e+01   -5.6798722551e+01    1.8062324515e+00    1.7042932747e+01    6.9807632464e+00    2.7070000000e+04    2.8516800717e-01    9.9753422990e-01
        46   -1.7256193010e+01    2.9800153688e+02   -3.0875178138e+01    1.3618985128e+01   -5.6871364709e+01    1.9257707752e+00    1.7089652549e+01    6.9807632464e+00    2.7105000000e+04    2.8306551617e-01    9.9744011091e-01
        47   -1.7263120400e+01    2.9824290024e+02   -3.1030393451e+01    1.3767273050e+01   -5.7185617086e+01    2.0815996387e+00    1.7092860750e+01    6.9807632464e+00    2.7098000000e+04    2.8202014867e-01    9.9725543722e-01
